action_id,flag,severity,detail
d2db60c5307cb517c735e2d0138d2b6f10fc5b221d610fa187719bdc82af9a03#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
996edfe370b8e51be73541e75499a818461305e37c7fa0c1b193f2c587167cc7#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
e5643c33f608642e329228a968770e5b19ef5f48ff1f698712e2ce864a49e3f0#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
90cf51975f9c19c291bac3e57364a89507e64daa0a2d35e356f87e6684821556#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
207b226e110e13bb18b119fcd313520e0fcd060b2bc9fb9a5e5bc6e94ab10f3b#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
1d6aea56e6a523b13e03ae30ff24ebf9852543b4f7d415c7e50f55f6baaa4e3d#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
1d6aea56e6a523b13e03ae30ff24ebf9852543b4f7d415c7e50f55f6baaa4e3d#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
4ff43f1eab5252ef00ba6f1429dc23715e3899834f10c067e8065c8364d5559a#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
4ff43f1eab5252ef00ba6f1429dc23715e3899834f10c067e8065c8364d5559a#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
47a0e7a4f9383b1afc2192b23b41824d65ac978d7741aca61fc1fa16833d1111#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
2c7f900b7ff68f317a7b0e42231d4aed36227660baf2ee9a4be7e880eb977313#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#11,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#14,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#15,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#1,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#16,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#30,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#19,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#25,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#26,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#27,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#22,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#28,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#29,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#35,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#23,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#2,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#3,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#4,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#5,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#6,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#7,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#8,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#9,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#10,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#12,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#13,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#17,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#18,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#20,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#21,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#24,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#31,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#32,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#33,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#34,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#36,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
3cf29192a0ee1a77985054072edcdb566ac14707730637c4635d8fb6813cb4c9#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
495bd3cd44ea6bc0b4c2dbb1e4cdc7e214874c2c07490a4e2476a627ef911280#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
defbf15b06092718adf4befeab982e03d2966b9caeef93c19e470549ef75ea49#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
637e3c256da9c1350847ca3211e8c44e3660a4471e8b6f68a8c537746b4aeb73#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
4840e305563327358cf70dae5015b2df8f8c35cef03f74521d4f117ac17bc384#0,🔴 NO_METADATA,red,Anchor URL missing or could not be resolved
bd488931f792651fefa9c6fda185a2c6cec83245b51d994e33090ce36e29cc26#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
7d9fc9fe4cee64fb34e57783378ac869a85c78d6fbcd4078ed131ab6fa3c7db6#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
9b62b3c632f329016a968ac25211825bb4f84b12461121c7da3aa11df92370f9#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
7f320409d9998712ff3a3cdf0c9439e1543f236a3d746766f78f1fdbe1e06bf8#0,🔴 HASH_MISMATCH,red,Metadata content hash does not match on-chain anchor hash
8c653ee5c9800e6d31e79b5a7f7d4400c81d44717ad4db633dc18d4c07e4a4fd#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
51f495aa23f4b3b3aa90afde4a0e67823bb7ac4ac65f5ffbb138373b863f2f74#0,🔴 NO_METADATA,red,Anchor URL missing or could not be resolved
7fd6429add8f2611ad8d48c0cc49101463093aec285faea402e8cfde78ea58d7#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
59fd353253eb177e2104e8f23ea4c63e3d32ef95c7865d03e90d3884424dc1db#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
15f82a365bdee483a4b03873a40d3829cc88c048ff3703e11bd01dd9e035c916#0,🔴 HASH_MISMATCH,red,Metadata content hash does not match on-chain anchor hash
15f82a365bdee483a4b03873a40d3829cc88c048ff3703e11bd01dd9e035c916#0,🟡 SPARSE_RATIONALE,yellow,Rationale under 200 characters
15f82a365bdee483a4b03873a40d3829cc88c048ff3703e11bd01dd9e035c916#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
2f2fc2539dde550d3c83bea67c11b03861407976bbe8d07c5b0e124aa8a12baa#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
2f2fc2539dde550d3c83bea67c11b03861407976bbe8d07c5b0e124aa8a12baa#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
f35285db3c4e085ad331843b3007737952b8a322bb3216311edc37fdf44ad3da#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
e5c4d7ebaad03ac127ec19a286605a188d6fea1c54e075c619ca6993b7fa9fd1#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
e5c4d7ebaad03ac127ec19a286605a188d6fea1c54e075c619ca6993b7fa9fd1#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8807e3cee3be5647742c329c1dea242f0c1c29b8ad050e15169e3b0302fcbfd6#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b518efa466593906ab388f978b3695449809aacdf28d2aaf4eb5ba16b3c24a1e#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
b11527fbcdc9d41e8f497de64a029a18673a5eefc413718459046f0b7a1a6656#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
bd91fa7ea9b4e09f76cbde3abb0b564ffc60b27e18af464ccec9bef9c718d087#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
bd91fa7ea9b4e09f76cbde3abb0b564ffc60b27e18af464ccec9bef9c718d087#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#5,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#5,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#1,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#1,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#2,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#2,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#3,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#3,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#8,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#8,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#7,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#7,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#4,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#4,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#6,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#6,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
7b42570b685aa6085c8345f894a6b04df06cb6fb17f9f252cfe891ceae705ddc#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
7b42570b685aa6085c8345f894a6b04df06cb6fb17f9f252cfe891ceae705ddc#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b4b48b8b822bb0039d312795821339b3719dfc0f682d51064dae716a7610e102#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
3f0ff0d848cab1036621f92732fef5ea1cb6466305889777ee95496933dfd1e4#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
af15a6627176f13be28100d7aa96a40f103f63c98e553869e38ab135ff4292cd#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
af15a6627176f13be28100d7aa96a40f103f63c98e553869e38ab135ff4292cd#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
2f583d8efb7a01da81df432f561a5a9bb2f5749555cea3e19d5097a9bfb06b52#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
2f583d8efb7a01da81df432f561a5a9bb2f5749555cea3e19d5097a9bfb06b52#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
4206ae0bc11ba74f9eb86cd561ba684e44f0f9dfe12bc8f23911422a7e0a75f3#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
4705a3e4e2b3837c370774c357e31fb30aa02279ff8d34a770d855f905e502dc#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
5ad10ad39f49a0f93ac91e70482f114fdbcbc05b20ac774dbe23a82efbcb820a#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
5ad10ad39f49a0f93ac91e70482f114fdbcbc05b20ac774dbe23a82efbcb820a#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
0b3c83b5e62a63603948c247b47cfd012279756fa38cf73b0c6c19ce63f0868c#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
0b3c83b5e62a63603948c247b47cfd012279756fa38cf73b0c6c19ce63f0868c#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
e0900fddf52f1f2f6439fa8a3aaa8c224ab59b6074d0e2db3b27c8f06b0e5d33#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
9a020ea7a6a0d813ff08c92bd8300b26077ae69a4b827c4d432ac665120325d7#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
9a020ea7a6a0d813ff08c92bd8300b26077ae69a4b827c4d432ac665120325d7#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
c05eed09c8706453c97c88d403c4ff43b7786a552fe8711aa07d3e6529ffd8ba#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
aaa6d9ccb72639c77db46b73bec2eaff9e5fcdfa04909cf1a0f7855a4d31485a#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
aaa6d9ccb72639c77db46b73bec2eaff9e5fcdfa04909cf1a0f7855a4d31485a#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
3f4b022c9913d52f9f39a8c82a1b9ebe5143fb745f3531f9366c7268bf9b9ce4#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
3f4b022c9913d52f9f39a8c82a1b9ebe5143fb745f3531f9366c7268bf9b9ce4#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
17e43ffe4b2e0df1787d54f21ac66643c74abb131a326272fceecbdbbdd0d3fc#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
17e43ffe4b2e0df1787d54f21ac66643c74abb131a326272fceecbdbbdd0d3fc#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
4f6e5df9a6e14bd49e406e2bbb0d108b3be2be64b9569b930053a0c1eebe0d47#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
4f6e5df9a6e14bd49e406e2bbb0d108b3be2be64b9569b930053a0c1eebe0d47#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
d52a4917df4f91c342eaf06ebb4c0a5c3156f6412d137f307cc77eb911f47ab1#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
d52a4917df4f91c342eaf06ebb4c0a5c3156f6412d137f307cc77eb911f47ab1#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
5d3a1f657fe330b51b459ca9b482fc1a3b6e3336227f880d8a058771c23e3ce2#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
fbb8d1a4a8d6b62f8cd706944a0582b884c2b90187b8fada7953d5c6a33eb5a7#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
fbb8d1a4a8d6b62f8cd706944a0582b884c2b90187b8fada7953d5c6a33eb5a7#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
8721696358acdd43e34e5ed9ef1b3e2a1d2af9c1aa1972e017b9b9271b7ddc70#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
8721696358acdd43e34e5ed9ef1b3e2a1d2af9c1aa1972e017b9b9271b7ddc70#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#1,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#10,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#9,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#8,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#7,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#6,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#5,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#4,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#3,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#2,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
0f75dd11be0b7a6cb4b305a175b17cf4b60cd307c052fccabf9f572950e70583#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
0f75dd11be0b7a6cb4b305a175b17cf4b60cd307c052fccabf9f572950e70583#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
4b7abfa70d98858750c50cd651d54c2955303b5410b34f40eb259f2fffc7c939#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
4b7abfa70d98858750c50cd651d54c2955303b5410b34f40eb259f2fffc7c939#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
35b44189eb4795d5775122da52a3a115753f83fd662dd1ff205ea633fc99b34e#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
d8de068952df50c862fa1bce9b8180d3387976cbae0fb2c3d9ef84f0faaf64d6#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
5439b6141625436ccf600f910bb0b3301b6288933a2cdf7939758848ae8b9997#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
5439b6141625436ccf600f910bb0b3301b6288933a2cdf7939758848ae8b9997#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
3234567a3f48ace25efc150f1369192615974e232ea06e0251701831d9e4486d#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
c0660dfd01b0a2d9ba7bac02014370096242ec756031b57d78080844fbbe9c05#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
a75645e0871f3dbb6207df867d9bd6a1a3a5befa40d68df6da651db4d6607fbf#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
dfd81f8db652fd9263e0ce3bef043b4823045ec3a5da10c817681ada7a23f034#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
4b10e5793208cb8f228756e02113227c91602248eac4d992681a0ee760b6c4e2#0,🔴 NO_METADATA,red,Anchor URL missing or could not be resolved
4840e305563327358cf70dae5015b2df8f8c35cef03f74521d4f117ac17bc384#0,🔴 HASH_MISMATCH,red,Metadata content hash does not match on-chain anchor hash
4840e305563327358cf70dae5015b2df8f8c35cef03f74521d4f117ac17bc384#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
2f429bde312c0806bd16199da10f4145da9807161e99d4486174c6fb9a91f983#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
