action_id,action_type,execution_risk_level,governance_risk_level,technical_risk_level,treasury_exposure_risk_level,mitigation_evidence_present,independent_assurance_present,rollback_or_remedy_path,dependency_map_complete,risk_profile_confidence,risk_blocker,notes,owner,status
gov_action1zhuz5djmmmjg8f9s8pe6grfc98xg3szglums8cgm6qwancp4eytqqmpu0pr,InfoAction,high,high,unknown,unknown,yes,yes,yes,yes,0.80,no,,drep-ops,ready_for_directional
gov_action1t5ap7etluvct2x69nj5mfqhurgakuvekyflcsrv2qkrhrs378n3qq3z2c22,InfoAction,low,medium,low,none,no,no,no,no,0.6,no,Non-binding discussion; no funds. Network DReps ~99% NO.,drep-ops,first_pass_review
gov_action1654yj97lf7guxsh27phtknq2tsc4dajp95fh7vrucaltjy0502csq7qtkhq,TreasuryWithdrawals,low,low,low,low,yes,no,yes,no,0.65,no,"Low risk: one-time payment, verifiable cause; remedy n/a (one-off).",drep-ops,first_pass_review
gov_action1fah9m7dxu99af8jqdc4mkrgs3va790nyh9tfhycq2wsvrm47p4rsqtcm6ry,TreasuryWithdrawals,medium,low,high,high,partial,no,no,no,0.45,no,High technical/treasury exposure (5.1M ADA); delivery risk on a feature-complete v2; mitigations not independently assured.,drep-ops,first_pass_review
gov_action1cadmygtqv6r64pvwezw859wg36wpwp209cz94cc7ej9fdp7dyphqq58n5ur,ParameterChange,low,medium,medium,none,partial,no,no,yes,0.6,no,Governance-resilience parameter; tied to a separate cost-model change; network DReps ~72% NO.,drep-ops,first_pass_review
gov_action1zljrlljt9cxlz7ra2nep43nxg0r54wcnrgexyuhuam9ah0ws607qq2vcg4x,TreasuryWithdrawals,medium,low,high,high,partial,no,no,no,0.45,no,"18.26M ADA, protocol-level crypto (Peras); single-pipeline framing raises delivery-risk concentration; no milestone gates.",drep-ops,first_pass_review
gov_action18a9sytyez02jl8ee4ryz5xu7heg587m5tu6nr7fkd3ex30umnnjqq27e7ey,TreasuryWithdrawals,medium,low,low,medium,no,no,no,no,0.4,no,Event outcomes hard to measure; benefit realization risk; no enforceable success metrics.,drep-ops,first_pass_review
gov_action1cp0w6zwgwpj98jtu3r2q838lgwmhs6j49l58zx4q05lx220lmzaqqztnljz,TreasuryWithdrawals,medium,low,medium,high,partial,no,no,no,0.45,no,Recurring third-party dependency is the dominant risk; declining future funding could strand paid-for integrations.,drep-ops,first_pass_review
gov_action142ndnn9hycuuwld5ddemash2l709ln06qjgfeudq77z45nf3fpdqqn7pwux,TreasuryWithdrawals,high,low,medium,medium,yes,no,no,no,0.45,no,Execution risk across three developing-market geographies; milestone structure is a partial mitigation.,drep-ops,first_pass_review
gov_action1ngpqafax5rvp8lcgey4asvqtycrh4e56fwp8cn2r9trx2ysryhtsqdm3w3z,TreasuryWithdrawals,low,low,low,low,yes,no,no,yes,0.55,no,"Mature, widely-used wallet; main risk is whether the sustainability plan materializes.",drep-ops,first_pass_review
