action_id,action_type,abstain_reason_code,anchor_pinned,anchor_fallback_packet,action_metadata_complete,timeline_defined,governance_rules_clear,budget_envelope_clear,milestones_acceptance_clear,disbursement_controls_clear,sustainability_path_clear,risk_profile_complete,drep_distribution_available,hard_blocker,readiness_score,minimum_new_evidence_to_decide,owner,status
gov_action1k02990lhw6wh74t7c6ufw3mqaek9ujtvyan99dj5qv5kvcs7pn8ssd0ztd8,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1k02990lhw6wh74t7c6ufw3mqaek9ujtvyan99dj5qv5kvcs7pn8sqcw2nc5,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1k02990lhw6wh74t7c6ufw3mqaek9ujtvyan99dj5qv5kvcs7pn8sj72rg72,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1k02990lhw6wh74t7c6ufw3mqaek9ujtvyan99dj5qv5kvcs7pn8sgx6wlxf,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1k02990lhw6wh74t7c6ufw3mqaek9ujtvyan99dj5qv5kvcs7pn8s5z9qdza,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1k02990lhw6wh74t7c6ufw3mqaek9ujtvyan99dj5qv5kvcs7pn8s24l0u4y,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1suskjc6c4nw58c6wtmv77xe79gwj47wp4gvh9cqhhxujwxmam3cqqkz5nwj,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1lwudrf9g66mzlrxhq62y5pvzhzzv9wgps7u04kne202udge7kknsqlgmhse,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1lh2x3kjucjkggvwu6l3txggkvmrnhs3flpv8j35lvlcan4gax3xsq3cxfjc,HardForkInitiation,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
2f429bde312c0806bd16199da10f4145da9807161e99d4486174c6fb9a91f983#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
dfd81f8db652fd9263e0ce3bef043b4823045ec3a5da10c817681ada7a23f034#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
c0660dfd01b0a2d9ba7bac02014370096242ec756031b57d78080844fbbe9c05#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
a75645e0871f3dbb6207df867d9bd6a1a3a5befa40d68df6da651db4d6607fbf#0,InfoAction,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
3234567a3f48ace25efc150f1369192615974e232ea06e0251701831d9e4486d#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
d8de068952df50c862fa1bce9b8180d3387976cbae0fb2c3d9ef84f0faaf64d6#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
5439b6141625436ccf600f910bb0b3301b6288933a2cdf7939758848ae8b9997#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
4b7abfa70d98858750c50cd651d54c2955303b5410b34f40eb259f2fffc7c939#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
35b44189eb4795d5775122da52a3a115753f83fd662dd1ff205ea633fc99b34e#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
0f75dd11be0b7a6cb4b305a175b17cf4b60cd307c052fccabf9f572950e70583#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#9,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#8,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#7,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#6,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#5,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#4,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#3,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#2,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#10,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#1,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
fdd468da5cc4ac8431dcd7e2b3211666c73bc229f85879469f67f1d9d51d344d#0,HardForkInitiation,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
fbb8d1a4a8d6b62f8cd706944a0582b884c2b90187b8fada7953d5c6a33eb5a7#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
8721696358acdd43e34e5ed9ef1b3e2a1d2af9c1aa1972e017b9b9271b7ddc70#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
d52a4917df4f91c342eaf06ebb4c0a5c3156f6412d137f307cc77eb911f47ab1#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
5d3a1f657fe330b51b459ca9b482fc1a3b6e3336227f880d8a058771c23e3ce2#0,InfoAction,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
c75bb221606687aa858ec89c7a15c88e9c17054f2e045ae31ecc8a9687cd206e#0,ParameterChange,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
4f6e5df9a6e14bd49e406e2bbb0d108b3be2be64b9569b930053a0c1eebe0d47#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
529dccaadaa000746c22f1682574cb3f436eeba4d19710b90791a54226dc96d7#0,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
gov_action1t5ap7etluvct2x69nj5mfqhurgakuvekyflcsrv2qkrhrs378n3qq3z2c22,InfoAction,,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,,None required for an info action; BEACN follows clear network consensus.,drep-ops,directional_from_network
gov_action1654yj97lf7guxsh27phtknq2tsc4dajp95fh7vrucaltjy0502csq7qtkhq,TreasuryWithdrawals,,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,,Confirm recipient address + staking-loss basis on-chain.,drep-ops,needs_independent_diligence
gov_action1fah9m7dxu99af8jqdc4mkrgs3va790nyh9tfhycq2wsvrm47p4rsqtcm6ry,TreasuryWithdrawals,,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,,Independent budget + on-chain usage verification + milestone gates.,drep-ops,needs_independent_diligence
gov_action1cadmygtqv6r64pvwezw859wg36wpwp209cz94cc7ej9fdp7dyphqq58n5ur,ParameterChange,,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,,Dependency on the linked cost-model change; otherwise network-driven.,drep-ops,directional_from_network
gov_action1zljrlljt9cxlz7ra2nep43nxg0r54wcnrgexyuhuam9ah0ws607qq2vcg4x,TreasuryWithdrawals,,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,,Independent rate/hours validation + milestone gating + runway impact.,drep-ops,needs_independent_diligence
gov_action18a9sytyez02jl8ee4ryz5xu7heg587m5tu6nr7fkd3ex30umnnjqq27e7ey,TreasuryWithdrawals,,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,,Enforceable success metrics + valuation basis.,drep-ops,needs_independent_diligence
gov_action1cp0w6zwgwpj98jtu3r2q838lgwmhs6j49l58zx4q05lx220lmzaqqztnljz,TreasuryWithdrawals,,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,,Line-item recurring fees + dependence-reduction plan.,drep-ops,needs_independent_diligence
gov_action142ndnn9hycuuwld5ddemash2l709ln06qjgfeudq77z45nf3fpdqqn7pwux,TreasuryWithdrawals,,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,,Independent feasibility + reach basis + milestone-gated disbursement proof.,drep-ops,needs_independent_diligence
gov_action1ngpqafax5rvp8lcgey4asvqtycrh4e56fwp8cn2r9trx2ysryhtsqdm3w3z,TreasuryWithdrawals,,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,,Evidence for Pro-plan conversion + staged disbursement.,drep-ops,needs_independent_diligence
48bab0ca71cc46f2ee421242b14f292b8c8382bda707d03ea662644bed22b893#0,InfoAction,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
ab474223d40e2e3540555364be27e161a809c33651408f43d84acff10c0ba306#0,ParameterChange,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
729daaf2f9f89f842a61f6e3ebf7e57d16d6fa4116e29c13114780cb39090850#0,NewCommittee,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,no,no,,,drep-agent-extract,machine_derived
